j, count, amp,
579180,394,0.260650634765625,
580650,395,0.083404541015625,
582120,396,-0.0272216796875,
583590,397,0.1966552734375,
585060,398,-0.024993896484375,
586530,399,0.121429443359375,
588000,400,0.140106201171875,
589470,401,-0.1839599609375,
590940,402,-0.067657470703125,
592410,403,0.319671630859375,
593880,404,0.234466552734375,
595350,405,0.069580078125,
596820,406,0.002593994140625,
598290,407,0.141021728515625,
599760,408,0.113983154296875,
601230,409,-0.034210205078125,
602700,410,-0.07861328125,
604170,411,0.012481689453125,
605640,412,-0.100341796875,
607110,413,-0.567840576171875,
608580,414,-0.543243408203125,
610050,415,0.33795166015625,
611520,416,-0.385589599609375,
612990,417,0.24139404296875,
614460,418,-0.184844970703125,
615930,419,-0.341705322265625,
617400,420,-0.193359375,
618870,421,0.155975341796875,
620340,422,0.247528076171875,
621810,423,0.170867919921875,
623280,424,0.084228515625,
624750,425,0.001068115234375,
626220,426,-0.254638671875,
627690,427,-0.229034423828125,
629160,428,0.215423583984375,
630630,429,0.2872314453125,
632100,430,0.1683349609375,
633570,431,-0.241943359375,
635040,432,0.096099853515625,
636510,433,-0.007965087890625,
637980,434,0.04864501953125,
639450,435,0.01544189453125,
640920,436,-0.095062255859375,
642390,437,-0.096923828125,
643860,438,-0.063812255859375,
645330,439,0.057769775390625,
646800,440,-0.086029052734375,
648270,441,-0.112152099609375,
649740,442,-0.073577880859375,
651210,443,0.007781982421875,
652680,444,-0.115966796875,
654150,445,-0.14117431640625,
655620,446,0.10699462890625,
657090,447,0.02587890625,
658560,448,0.12310791015625,
660030,449,0.003082275390625,
661500,450,-0.01654052734375,
662970,451,0.169403076171875,
664440,452,-0.073944091796875,
665910,453,-0.045166015625,
667380,454,0.018890380859375,
668850,455,0.071807861328125,
670320,456,-0.34405517578125,
671790,457,0.036895751953125,
673260,458,-0.1201171875,
674730,459,0.190185546875,
676200,460,0.210357666015625,
677670,461,0.01324462890625,
679140,462,-0.001495361328125,
680610,463,-0.0108642578125,
682080,464,-0.055816650390625,
683550,465,-0.009124755859375,
685020,466,0.067535400390625,
686490,467,-0.047210693359375,
687960,468,0.05279541015625,
689430,469,-0.008697509765625,
690900,470,-0.012725830078125,
692370,471,-0.012939453125,
693840,472,0.323974609375,
695310,473,0.019287109375,
696780,474,-0.0101318359375,
698250,475,-0.044586181640625,
699720,476,-0.028167724609375,
701190,477,-0.04010009765625,
702660,478,-0.04315185546875,
704130,479,0.087127685546875,
705600,480,0.01416015625,
707070,481,0.2120361328125,
708540,482,-0.104400634765625,
710010,483,-0.195465087890625,
711480,484,0.147735595703125,
712950,485,0.012481689453125,
714420,486,-0.04522705078125,
715890,487,0.020263671875,
717360,488,-0.088470458984375,
718830,489,0.1783447265625,
720300,490,-0.124053955078125,
721770,491,-0.0054931640625,
723240,492,-0.020111083984375,
724710,493,-0.0123291015625,
726180,494,0.01409912109375,
727650,495,0.001373291015625,
729120,496,-0.004425048828125,
730590,497,-0.038818359375,
732060,498,-0.481689453125,
733530,499,0.203887939453125,
735000,500,-0.126434326171875,
736470,501,0.182342529296875,
737940,502,-0.0989990234375,
739410,503,0.489349365234375,
740880,504,-0.436492919921875,
742350,505,0.05267333984375,
743820,506,0.203521728515625,
745290,507,-0.200469970703125,
746760,508,-0.139617919921875,
748230,509,0.175567626953125,
749700,510,0.177093505859375,
751170,511,-0.06915283203125,
752640,512,-0.11041259765625,
754110,513,-0.02130126953125,
755580,514,0.3880615234375,
757050,515,0.027099609375,
758520,516,0.002349853515625,
759990,517,-0.403076171875,
761460,518,0.313568115234375,
762930,519,-0.09014892578125,
764400,520,-0.175140380859375,
765870,521,0.024169921875,
767340,522,-0.06585693359375,
768810,523,0.041351318359375,
770280,524,-0.255096435546875,
771750,525,-0.1453857421875,
773220,526,0.209503173828125,
774690,527,-0.092193603515625,
776160,528,-0.064849853515625,
777630,529,-0.27325439453125,
779100,530,-0.420745849609375,
780570,531,0.103271484375,
782040,532,0.00469970703125,
783510,533,-0.050750732421875,
784980,534,0.00799560546875,
786450,535,0.18011474609375,
787920,536,-0.07440185546875,
789390,537,-0.304107666015625,
790860,538,-0.15447998046875,
